Month,DayOfWeek,IsWeekend,PaymentMethod,PurchaseAmount,Item,Rating
7,1,0,Cash,101.24598578447198,Belt,5
11,0,0,Credit Card,383.80157483329435,Sweater,2
8,1,0,Cash,301.9339449343873,Jeans,3
5,0,0,Credit Card,994.2621698031247,Jacket,5
7,1,0,Cash,736.2138010326541,Jeans,2
10,6,1,Cash,394.8595224689928,Dress,4
3,0,0,Credit Card,830.7316727487649,Jeans,4
7,0,0,Cash,494.7694397049363,Skirt,2
11,6,1,Cash,874.0961682441801,Belt,4
11,1,0,Credit Card,273.7160471742726,Jacket,2
8,5,1,Cash,231.36422511319478,Dress,2
5,4,0,Cash,254.8138144349731,Belt,2
4,2,0,Credit Card,543.0957703638019,Sneakers,6
8,4,0,Credit Card,298.4002572435833,T-shirt,2
8,0,0,Cash,155.64848730492025,Skirt,1
3,1,0,Cash,994.6816393206748,T-shirt,6
6,1,0,Credit Card,901.428895166996,Skirt,6
5,1,0,Credit Card,638.6623131181489,Scarf,6
2,1,0,Cash,892.6274451847065,Skirt,5
8,5,1,Credit Card,936.1081101327406,Belt,2
12,2,0,Credit Card,679.3472089471771,T-shirt,4
6,3,0,Credit Card,523.4929809043952,T-shirt,2
2,0,0,Cash,883.1817742925305,Jeans,5
12,2,0,Cash,572.1190269437805,T-shirt,5
5,4,0,Cash,135.53253742533525,Jacket,1
1,3,0,Cash,373.18744045293073,Jeans,6
12,3,0,Cash,451.4617422180233,Scarf,5
10,1,0,Credit Card,936.0153259742395,Belt,2
6,2,0,Credit Card,662.5936175827642,Skirt,1
12,4,0,Credit Card,876.5247871679319,Handbag,5
9,1,0,Cash,760.0157838315369,Dress,3
1,1,0,Cash,316.76227765745614,Sweater,5
11,6,1,Credit Card,721.5219031335414,Dress,3
11,6,1,Credit Card,203.34673856463587,Skirt,2
10,6,1,Credit Card,414.064353600293,Jacket,3
12,5,1,Credit Card,808.0309385843728,Sweater,3
12,0,0,Cash,615.809870296076,Sneakers,4
3,3,0,Cash,827.1583808930887,Dress,2
12,4,0,Credit Card,262.1565465265508,Jeans,4
7,3,0,Cash,752.251344103022,Skirt,3
4,2,0,Cash,210.30111782741815,Sneakers,6
9,0,0,Cash,549.8511306740271,Sneakers,3
3,1,0,Cash,439.199248509887,Belt,6
5,0,0,Credit Card,560.911099193099,Sneakers,5
3,1,0,Credit Card,144.1780897879898,Belt,3
7,6,1,Cash,367.6155967578816,T-shirt,3
5,0,0,Credit Card,670.2347925575119,Sweater,5
9,1,0,Cash,562.9454861402171,Jeans,3
7,3,0,Credit Card,553.4800613227014,Sweater,2
2,6,1,Credit Card,515.7218110099418,Dress,5
4,6,1,Credit Card,944.4460609384896,Belt,6
9,6,1,Credit Card,935.2240009603369,T-shirt,3
12,3,0,Credit Card,366.5435230703113,T-shirt,4
2,3,0,Credit Card,358.3760614683627,Jeans,5
10,3,0,Credit Card,559.3494720073305,Scarf,4
9,6,1,Cash,104.65022129781572,Jeans,2
10,0,0,Credit Card,309.97663375984075,Jacket,2
5,1,0,Cash,238.55889014316102,T-shirt,6
2,3,0,Credit Card,231.1557716530642,Jeans,4
4,0,0,Credit Card,642.1204706363152,T-shirt,5
12,1,0,Credit Card,390.50683100070785,Handbag,3
12,6,1,Cash,179.4527310107232,Dress,4
7,0,0,Cash,888.6961265378819,Belt,2
12,6,1,Cash,875.4072010584163,Scarf,5
8,5,1,Cash,863.8382942969129,Belt,3
